Timestamp,Level,Type,Channel,Message
2025-11-01T07:48:03,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 30ms (avg 20 +/- 2)"
2025-11-01T07:48:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 310ms (avg 272 +/- 11)"
2025-11-01T07:58:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 319ms (avg 278 +/- 18)"
2025-11-01T08:08:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 32ms (avg 21 +/- 4)"
2025-11-01T08:13:03,WARN,Spike,Gateway,"SPIKE: Gateway latency 250ms (avg 222 +/- 10)"
2025-11-01T08:58:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 285ms (avg 268 +/- 3)"
2025-11-01T09:13:11,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 298ms (avg 268 +/- 6)"
2025-11-01T09:23:03,WARN,Spike,Gateway,"SPIKE: Gateway latency 234ms (avg 217 +/- 3)"
2025-11-01T09:28:03,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 25ms (avg 19 +/- 1)"
2025-11-01T09:33:03,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 45ms (avg 19 +/- 2)"
2025-11-01T09:33:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 302ms (avg 274 +/- 13)"
2025-11-01T10:48:03,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 22ms (avg 20 +/- 1)"
2025-11-01T10:53:12,WARN,Other,,"WARN: Local LLM latency 2065ms"
2025-11-01T10:53:12,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 2065ms (avg 20 +/- 1)"
2025-11-01T10:53:12,WARN,Spike,Gateway,"SPIKE: Gateway latency 252ms (avg 217 +/- 2)"
2025-11-01T11:58:10,WARN,Spike,Gateway,"SPIKE: Gateway latency 231ms (avg 218 +/- 4)"
2025-11-01T12:28:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 293ms (avg 270 +/- 8)"
2025-11-01T12:33:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 314ms (avg 273 +/- 11)"
2025-11-01T12:38:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 26ms (avg 21 +/- 1)"
2025-11-01T12:43:04,ALERT,Other,,"Cloud AI offline (429)"
2025-11-01T13:08:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 231ms (avg 217 +/- 3)"
2025-11-01T13:28:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 256ms (avg 218 +/- 5)"
2025-11-01T13:43:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 23ms (avg 19 +/- 1)"
2025-11-01T13:48:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 262ms (avg 224 +/- 13)"
2025-11-01T14:08:07,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 333ms (avg 269 +/- 15)"
2025-11-01T14:13:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 35ms (avg 20 +/- 2)"
2025-11-01T14:48:03,WARN,Spike,Gateway,"SPIKE: Gateway latency 238ms (avg 221 +/- 4)"
2025-11-01T15:08:07,ALERT,Alert,,"ALERT: Lumen Gateway latency 3043ms"
2025-11-01T15:08:07,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 22ms (avg 20 +/- 1)"
2025-11-01T15:08:07,WARN,Spike,Gateway,"SPIKE: Gateway latency 3043ms (avg 223 +/- 6)"
2025-11-01T16:03:03,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 27ms (avg 20 +/- 1)"
2025-11-01T16:03:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 306ms (avg 275 +/- 10)"
2025-11-01T17:13:03,WARN,Spike,Gateway,"SPIKE: Gateway latency 233ms (avg 221 +/- 2)"
2025-11-01T17:18:06,WARN,Spike,Gateway,"SPIKE: Gateway latency 232ms (avg 222 +/- 4)"
2025-11-01T17:48:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 24ms (avg 20 +/- 1)"
2025-11-01T18:13:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 280ms (avg 270 +/- 4)"
2025-11-01T18:18:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 281ms (avg 270 +/- 5)"
2025-11-01T18:23:07,WARN,Spike,Gateway,"SPIKE: Gateway latency 239ms (avg 222 +/- 4)"
2025-11-01T18:33:03,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 299ms (avg 273 +/- 5)"
2025-11-01T18:48:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 298ms (avg 278 +/- 10)"
2025-11-01T18:58:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 24ms (avg 21 +/- 1)"
2025-11-01T19:03:04,WARN,Spike,Local LLM,"SPIKE: Local LLM latency 57ms (avg 21 +/- 1)"
2025-11-01T19:13:04,WARN,Spike,Cloud AI,"SPIKE: Cloud AI latency 336ms (avg 285 +/- 11)"
2025-11-01T20:08:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 234ms (avg 222 +/- 4)"
2025-11-01T21:08:04,WARN,Spike,Gateway,"SPIKE: Gateway latency 233ms (avg 219 +/- 5)"
