Timestamp,LocalMs,CloudMs,GatewayMs,LocalOnline,CloudOnline,GatewayOnline
2025-11-02T10:23:04,18,271,218,1,1,1
2025-11-02T10:28:04,24,304,223,1,1,1
2025-11-02T10:33:07,20,275,211,1,1,1
2025-11-02T10:38:04,19,256,224,1,1,1
2025-11-02T10:43:04,21,273,228,1,1,1
2025-11-02T10:48:04,19,267,223,1,1,1
2025-11-02T10:53:05,21,275,228,1,1,1
2025-11-02T10:58:04,18,266,219,1,1,1
2025-11-02T11:03:05,25,292,217,1,1,1
2025-11-02T11:08:04,31,281,220,1,1,1
2025-11-02T11:13:04,20,267,211,1,1,1
2025-11-02T11:18:05,19,269,219,1,1,1
2025-11-02T11:23:04,21,305,224,1,1,1
2025-11-02T11:28:04,19,281,213,1,1,1
2025-11-02T11:33:05,24,279,226,1,1,1
2025-11-02T11:38:08,21,265,227,1,1,1
2025-11-02T11:43:04,19,239,221,1,1,1
2025-11-02T11:48:05,22,275,226,1,1,1
2025-11-02T11:53:04,18,238,219,1,1,1
2025-11-02T11:58:05,18,270,222,1,1,1
2025-11-02T12:03:04,24,236,218,1,1,1
2025-11-02T12:08:05,25,271,218,1,1,1
2025-11-02T12:13:05,40,234,221,1,1,1
2025-11-02T12:18:06,20,272,222,1,1,1
2025-11-02T12:23:05,23,274,222,1,1,1
2025-11-02T12:28:05,21,270,262,1,1,1
2025-11-02T12:33:05,26,299,226,1,1,1
2025-11-02T12:38:05,24,235,223,1,1,1
2025-11-02T12:43:07,21,275,220,1,1,1
2025-11-02T12:48:05,24,299,227,1,1,1
2025-11-02T12:53:05,22,270,222,1,1,1
2025-11-02T12:58:04,20,284,237,1,1,1
2025-11-02T13:03:03,19,272,225,1,1,1
2025-11-02T13:08:04,30,271,220,1,1,1
2025-11-02T13:13:04,22,274,221,1,1,1
2025-11-02T13:18:04,20,281,223,1,1,1
2025-11-02T13:23:04,20,269,226,1,1,1
2025-11-02T13:28:04,23,276,224,1,1,1
2025-11-02T13:33:04,24,267,255,1,1,1
2025-11-02T13:38:05,33,243,236,1,1,1
2025-11-02T13:43:04,24,274,217,1,1,1
2025-11-02T13:48:04,24,270,221,1,1,1
2025-11-02T13:53:04,25,228,222,1,1,1
2025-11-02T13:58:04,18,271,225,1,1,1
2025-11-02T14:03:04,21,267,218,1,1,1
2025-11-02T14:08:04,25,279,220,1,1,1
2025-11-02T14:13:03,20,274,230,1,1,1
2025-11-02T14:18:04,30,270,219,1,1,1
2025-11-02T14:23:04,18,226,216,1,1,1
2025-11-02T14:28:04,22,238,224,1,1,1
2025-11-02T14:33:04,21,278,222,1,1,1
2025-11-02T14:38:08,23,310,220,0,1,1
2025-11-02T14:43:04,19,235,214,1,1,1
2025-11-02T14:48:06,44,289,226,1,1,1
