date,message_count,user_messages,assistant_messages,token_count
2023-02-11,42,21,21,5575
2023-02-14,4,2,2,208
2023-02-15,2,1,1,89
2023-02-17,4,2,2,572
2023-02-19,2,1,1,104
2023-03-01,4,2,2,80
2023-03-02,4,2,2,96
2023-03-06,13,7,6,2446
2023-03-07,4,2,2,283
2023-03-09,2,1,1,113
2023-03-14,48,24,24,3477
2023-03-16,4,2,2,364
2023-03-17,20,10,10,1695
2023-03-21,4,2,2,377
2023-03-24,12,6,6,715
2023-12-03,130,65,65,1728
2023-12-05,6,3,3,94
2023-12-11,48,24,24,356
2023-12-16,73,36,37,4416
2023-12-19,19,10,9,186
2023-12-20,102,51,51,2037
2023-12-22,142,75,67,2814
2023-12-24,41,21,20,466
2023-12-25,102,53,49,2063
2023-12-26,48,24,24,1459
2023-12-27,59,19,27,17703
2023-12-28,6,3,3,143
2023-12-30,33,17,16,860
2023-12-31,4,2,2,57
2024-01-01,4,2,2,67
2024-01-05,22,11,11,987
2024-01-09,20,10,10,883
2024-01-10,2,1,1,130
2024-01-14,34,17,17,1253
2024-01-15,10,5,5,341
2024-01-16,24,12,12,611
2024-02-02,2,1,1,28
2024-02-20,6,3,3,92
2024-03-16,2,1,1,19
2024-03-20,10,5,5,114
2024-03-21,2,1,1,25
2024-03-29,4,2,2,21
2024-04-02,10,5,5,202
2024-04-13,2,1,1,31
2024-04-17,10,5,5,308
2024-05-02,4,2,2,85
2024-05-17,4,2,2,25
2024-05-18,10,5,5,42
2024-05-19,56,28,28,1016
2024-05-23,34,17,17,397
2024-05-24,19,6,8,3544
2024-05-29,8,4,4,49
2024-06-08,34,17,17,794
2024-06-10,2,1,1,2
2024-06-27,36,18,18,10578
2024-06-28,28,12,14,10129
2024-06-29,4,2,2,323
2024-07-01,4,1,2,66
2024-07-04,5,2,3,42
2024-07-08,23,10,11,9902
2024-07-09,10,4,6,258
2024-07-10,19,8,10,247
2024-07-11,6,3,3,246
2024-07-12,13,6,7,674
2024-07-14,3,1,2,19
2024-07-22,3,1,2,34
2024-07-23,15,6,8,624
2024-07-27,12,4,6,832
2024-07-31,2,1,1,306
2024-08-05,6,3,3,194
2024-08-08,10,5,5,1413
2024-08-09,2,1,1,248
2024-08-14,22,11,11,1834
2024-08-19,10,5,5,1026
2024-08-24,25,3,11,11474
2024-09-03,3,1,2,23
2024-09-06,3,1,2,72
2024-09-07,5,2,3,43
2024-09-08,5,2,3,40
2024-09-09,3,1,2,29
2024-09-13,25,10,14,596
2024-09-14,58,25,29,5951
2024-09-15,3,1,1,123
2024-09-16,3,1,1,54
2024-09-17,16,6,8,577
2024-09-18,3,1,1,295
2024-09-20,6,2,3,564
2024-09-21,44,10,16,8559
2024-09-22,30,10,13,5844
2024-09-26,10,5,5,525
2024-10-15,3,1,2,215
2024-11-16,7,3,4,294
2024-11-18,18,7,10,257
2025-01-09,5,1,3,211
2025-01-26,4,2,2,282
2025-01-27,17,5,9,953
2025-02-04,5,2,3,223
2025-02-07,3,1,2,95
2025-02-11,19,8,10,1160
2025-02-12,19,9,10,887
2025-02-21,3,1,2,98
2025-03-05,6,2,4,628
2025-03-06,2,1,1,82
2025-03-07,15,7,8,1453
2025-03-08,13,6,7,824
2025-03-09,2,1,1,216
2025-03-12,21,10,11,2005
2025-03-15,12,5,6,1023
2025-03-16,9,3,5,484
2025-03-17,5,1,3,138
2025-03-18,78,35,40,4900
2025-03-22,8,4,4,691
2025-03-23,7,3,4,531
2025-03-24,37,18,19,6546
2025-03-25,17,8,9,2261
2025-03-26,14,7,7,1835
2025-03-27,29,14,15,3812
2025-03-28,10,5,5,2100
2025-03-30,21,10,11,3584
2025-03-31,28,12,14,4756
2025-04-01,35,15,19,4810
2025-04-02,48,24,24,9719
2025-04-03,93,41,48,18084
2025-04-04,45,17,23,10142
