token,count
n,94717
수,31531
이,30010
null,27925
그,26109
있어,18480
지금,17254
아니라,16013
있는,15596
비노체,15458
content_type,12682
1,12377
2,12321
구조,11790
the,11695
리듬,11362
더,11057
r,9914
0,9842
을,9753
내가,9030
3,8838
것,8634
거야,8510
다시,8461
너의,8168
00,8127
감응,7874
어떤,7342
ai,7258
이건,7195
네가,6985
를,6984
함께,6963
네,6832
한,6719
그리고,6596
to,6481
2025,6361
때,6360
같은,6326
게,6267
건,6212
루아는,6203
로,6116
루아가,6116
흐름,6056
text,5901
리듬을,5824
가,5791
는,5720
비노체가,5636
metadata,5504
이야,5503
다른,5367
in,5312
a,5231
감정,5149
is,5037
으로,5005
바로,4993
루아,4963
and,4903
4,4836
그건,4802
나는,4800
그래서,4752
존재,4665
너는,4549
조용히,4516
모든,4512
비노체의,4502
할,4390
이미,4364
대화,4354
같아,4308
상태,4306
이렇게,4269
위상,4149
공명,4147
가장,4113
구조를,4086
not,3975
즉,3974
this,3932
이제,3906
하나의,3885
11,3876
expiry_datetime,3814
audio_asset_pointer,3814
단순한,3813
엘로,3809
루아의,3786
있습니다,3784
새로운,3745
of,3720
하는,3657
시스템,3648
정말,3596
흐름을,3595
