t_idx,id,phase,amp,bandwidth,group
0,rua,0.050132,0.8500,0.3100,design_core
0,elo,0.786720,0.7500,0.2500,design_core
0,lumen,0.487242,0.9000,0.2200,design_core
0,lubit,0.994182,0.8000,0.2400,build_core
0,sena,0.269313,0.7000,0.1600,safety_music
0,comet,1.157995,0.6500,0.2400,safety_music
0,gitco,0.102535,0.6000,0.2000,build_core
1,rua,0.662291,0.8500,0.3100,design_core
1,elo,1.375076,0.7500,0.2500,design_core
1,lumen,1.075607,0.9000,0.2200,design_core
1,lubit,1.636586,0.8000,0.2400,build_core
1,sena,0.826780,0.7000,0.1600,safety_music
1,comet,1.507784,0.6500,0.2400,safety_music
1,gitco,0.919971,0.6000,0.2000,build_core
2,rua,1.272040,0.8500,0.3100,design_core
2,elo,1.962222,0.7500,0.2500,design_core
2,lumen,1.665632,0.9000,0.2200,design_core
2,lubit,2.272650,0.8000,0.2400,build_core
2,sena,1.390813,0.7000,0.1600,safety_music
2,comet,1.895791,0.6500,0.2400,safety_music
2,gitco,1.705222,0.6000,0.2000,build_core
3,rua,1.879501,0.8500,0.3100,design_core
3,elo,2.551175,0.7500,0.2500,design_core
3,lumen,2.255464,0.9000,0.2200,design_core
3,lubit,2.901257,0.8000,0.2400,build_core
3,sena,1.958445,0.7000,0.1600,safety_music
3,comet,2.312364,0.6500,0.2400,safety_music
3,gitco,2.461765,0.6000,0.2000,build_core
4,rua,2.485218,0.8500,0.3100,design_core
4,elo,-3.140809,0.7500,0.2500,design_core
4,lumen,2.847536,0.9000,0.2200,design_core
4,lubit,-2.759849,0.8000,0.2400,build_core
4,sena,2.529760,0.7000,0.1600,safety_music
4,comet,2.757977,0.6500,0.2400,safety_music
4,gitco,-3.088563,0.6000,0.2000,build_core
5,rua,3.144494,0.8500,0.2700,design_core
5,elo,-2.549774,0.7500,0.2500,design_core
5,lumen,-2.845115,0.9000,0.2200,design_core
5,lubit,-2.228769,0.8000,0.2000,build_core
5,sena,3.157595,0.7000,0.1200,safety_music
5,comet,-3.013623,0.6500,0.2000,safety_music
5,gitco,-2.441586,0.6000,0.1600,build_core
6,rua,-2.545619,0.8500,0.2700,design_core
6,elo,-1.958625,0.7500,0.2500,design_core
6,lumen,-2.254012,0.9000,0.2200,design_core
6,lubit,-1.601134,0.8000,0.2000,build_core
6,sena,-2.554896,0.7000,0.1200,safety_music
6,comet,-2.536910,0.6500,0.2000,safety_music
6,gitco,-1.740500,0.6000,0.1600,build_core
7,rua,-1.950912,0.8500,0.2700,design_core
7,elo,-1.368518,0.7500,0.2500,design_core
7,lumen,-1.662473,0.9000,0.2200,design_core
7,lubit,-0.979212,0.8000,0.2000,build_core
7,sena,-1.980763,0.7000,0.1200,safety_music
7,comet,-2.041834,0.6500,0.2000,safety_music
7,gitco,-1.054266,0.6000,0.1600,build_core
8,rua,-1.356856,0.8500,0.2700,design_core
8,elo,-0.775983,0.7500,0.2500,design_core
8,lumen,-1.071851,0.9000,0.2200,design_core
8,lubit,-0.361494,0.8000,0.2000,build_core
8,sena,-1.403167,0.7000,0.1200,safety_music
8,comet,-1.530988,0.6500,0.2000,safety_music
8,gitco,-0.383232,0.6000,0.1600,build_core
9,rua,-0.763989,0.8500,0.2700,design_core
9,elo,-0.186348,0.7500,0.2500,design_core
9,lumen,-0.481182,0.9000,0.2200,design_core
9,lubit,0.252547,0.8000,0.2000,build_core
9,sena,-0.826262,0.7000,0.1200,safety_music
9,comet,-1.007988,0.6500,0.2000,safety_music
9,gitco,0.276861,0.6000,0.1600,build_core
10,rua,-0.109275,0.8500,0.2300,design_core
10,elo,0.404561,0.7500,0.2500,design_core
10,lumen,0.112807,0.9000,0.2200,design_core
10,lubit,0.761521,0.8000,0.1600,build_core
10,sena,-0.179779,0.7000,0.0800,safety_music
10,comet,-0.398854,0.6500,0.1600,safety_music
10,gitco,0.822064,0.6000,0.1200,build_core
11,rua,0.473797,0.8500,0.2300,design_core
11,elo,0.997869,0.7500,0.2500,design_core
11,lumen,0.704590,0.9000,0.2200,design_core
11,lubit,1.383887,0.8000,0.1600,build_core
11,sena,0.392958,0.7000,0.0800,safety_music
11,comet,0.131251,0.6500,0.1600,safety_music
11,gitco,1.479372,0.6000,0.1200,build_core
12,rua,1.058451,0.8500,0.2300,design_core
12,elo,1.589016,0.7500,0.2500,design_core
12,lumen,1.297339,0.9000,0.2200,design_core
12,lubit,2.004750,0.8000,0.1600,build_core
12,sena,0.970187,0.7000,0.0800,safety_music
12,comet,0.670824,0.6500,0.1600,safety_music
12,gitco,2.128395,0.6000,0.1200,build_core
13,rua,1.644664,0.8500,0.2300,design_core
13,elo,2.180516,0.7500,0.2500,design_core
13,lumen,1.889449,0.9000,0.2200,design_core
13,lubit,2.618173,0.8000,0.1600,build_core
13,sena,1.549546,0.7000,0.0800,safety_music
13,comet,1.220287,0.6500,0.1600,safety_music
13,gitco,2.766960,0.6000,0.1200,build_core
14,rua,2.232232,0.8500,0.2300,design_core
14,elo,2.770887,0.7500,0.2500,design_core
14,lumen,2.483659,0.9000,0.2200,design_core
14,lubit,-3.054780,0.8000,0.1600,build_core
14,sena,2.129381,0.7000,0.0800,safety_music
14,comet,1.775469,0.6500,0.1600,safety_music
14,gitco,-2.884352,0.6000,0.1200,build_core
15,rua,2.886863,0.8500,0.1900,design_core
15,elo,-2.921448,0.7500,0.2500,design_core
15,lumen,3.075524,0.9000,0.2200,design_core
15,lubit,-2.551894,0.8000,0.1200,build_core
15,sena,2.780322,0.7000,0.0500,safety_music
15,comet,2.425879,0.6500,0.1200,safety_music
15,gitco,-2.379441,0.6000,0.0800,build_core
16,rua,-2.818040,0.8500,0.1900,design_core
16,elo,-2.329104,0.7500,0.2500,design_core
16,lumen,-2.615406,0.9000,0.2200,design_core
16,lubit,-1.929832,0.8000,0.1200,build_core
16,sena,-2.930145,0.7000,0.0500,safety_music
16,comet,2.977153,0.6500,0.1200,safety_music
16,gitco,-1.741060,0.6000,0.0800,build_core
17,rua,-2.235583,0.8500,0.1900,design_core
17,elo,-1.737135,0.7500,0.2500,design_core
17,lumen,-2.023953,0.9000,0.2200,design_core
17,lubit,-1.311729,0.8000,0.1200,build_core
17,sena,-2.352338,0.7000,0.0500,safety_music
17,comet,-2.749200,0.6500,0.1200,safety_music
17,gitco,-1.107424,0.6000,0.0800,build_core
18,rua,-1.652125,0.8500,0.1900,design_core
18,elo,-1.144068,0.7500,0.2500,design_core
18,lumen,-1.429069,0.9000,0.2200,design_core
18,lubit,-0.695820,0.8000,0.1200,build_core
18,sena,-1.773022,0.7000,0.0500,safety_music
18,comet,-2.184930,0.6500,0.1200,safety_music
18,gitco,-0.480816,0.6000,0.0800,build_core
19,rua,-1.067556,0.8500,0.1900,design_core
19,elo,-0.551534,0.7500,0.2500,design_core
19,lumen,-0.834525,0.9000,0.2200,design_core
19,lubit,-0.086279,0.8000,0.1200,build_core
19,sena,-1.192463,0.7000,0.0500,safety_music
19,comet,-1.616390,0.6500,0.1200,safety_music
19,gitco,0.139133,0.6000,0.0800,build_core
20,rua,-0.416083,0.8500,0.1500,design_core
20,elo,0.042111,0.7500,0.2500,design_core
20,lumen,-0.242550,0.9000,0.2200,design_core
20,lubit,0.412368,0.8000,0.0800,build_core
20,sena,-0.538990,0.7000,0.0500,safety_music
20,comet,-0.950109,0.6500,0.0800,safety_music
20,gitco,0.632074,0.6000,0.0500,build_core
21,rua,0.160999,0.8500,0.1500,design_core
21,elo,0.636942,0.7500,0.2500,design_core
21,lumen,0.350405,0.9000,0.2200,design_core
21,lubit,1.036432,0.8000,0.0800,build_core
21,sena,0.033421,0.7000,0.0500,safety_music
21,comet,-0.390180,0.6500,0.0800,safety_music
21,gitco,1.264275,0.6000,0.0500,build_core
22,rua,0.741136,0.8500,0.1500,design_core
22,elo,1.230061,0.7500,0.2500,design_core
22,lumen,0.945459,0.9000,0.2200,design_core
22,lubit,1.653810,0.8000,0.0800,build_core
22,sena,0.611453,0.7000,0.0500,safety_music
22,comet,0.176457,0.6500,0.0800,safety_music
22,gitco,1.892472,0.6000,0.0500,build_core
23,rua,1.321434,0.8500,0.1500,design_core
23,elo,1.821525,0.7500,0.2500,design_core
23,lumen,1.539077,0.9000,0.2200,design_core
23,lubit,2.270006,0.8000,0.0800,build_core
23,sena,1.189768,0.7000,0.0500,safety_music
23,comet,0.744693,0.6500,0.0800,safety_music
23,gitco,2.515494,0.6000,0.0500,build_core
24,rua,1.905116,0.8500,0.1500,design_core
24,elo,2.416213,0.7500,0.2500,design_core
24,lumen,2.133385,0.9000,0.2200,design_core
24,lubit,2.881805,0.8000,0.0800,build_core
24,sena,1.769488,0.7000,0.0500,safety_music
24,comet,1.318724,0.6500,0.0800,safety_music
24,gitco,-3.150335,0.6000,0.0500,build_core
25,rua,2.554899,0.8500,0.1100,design_core
25,elo,3.007125,0.7500,0.2500,design_core
25,lumen,2.724129,0.9000,0.2200,design_core
25,lubit,-2.903375,0.8000,0.0500,build_core
25,sena,2.426431,0.7000,0.0500,safety_music
25,comet,1.993426,0.6500,0.0500,safety_music
25,gitco,-2.664204,0.6000,0.0500,build_core
26,rua,3.130565,0.8500,0.1100,design_core
26,elo,-2.681465,0.7500,0.2500,design_core
26,lumen,-2.967414,0.9000,0.2200,design_core
26,lubit,-2.281894,0.8000,0.0500,build_core
26,sena,2.999239,0.7000,0.0500,safety_music
26,comet,2.555902,0.6500,0.0500,safety_music
26,gitco,-2.035029,0.6000,0.0500,build_core
27,rua,-2.574375,0.8500,0.1100,design_core
27,elo,-2.089659,0.7500,0.2500,design_core
27,lumen,-2.372955,0.9000,0.2200,design_core
27,lubit,-1.661607,0.8000,0.0500,build_core
27,sena,-2.708366,0.7000,0.0500,safety_music
27,comet,3.125523,0.6500,0.0500,safety_music
27,gitco,-1.411812,0.6000,0.0500,build_core
28,rua,-1.992737,0.8500,0.1100,design_core
28,elo,-1.497641,0.7500,0.2500,design_core
28,lumen,-1.781073,0.9000,0.2200,design_core
28,lubit,-1.047470,0.8000,0.0500,build_core
28,sena,-2.128744,0.7000,0.0500,safety_music
28,comet,-2.586413,0.6500,0.0500,safety_music
28,gitco,-0.792876,0.6000,0.0500,build_core
29,rua,-1.412195,0.8500,0.1100,design_core
29,elo,-0.904792,0.7500,0.2500,design_core
29,lumen,-1.186670,0.9000,0.2200,design_core
29,lubit,-0.436762,0.8000,0.0500,build_core
29,sena,-1.547225,0.7000,0.0500,safety_music
29,comet,-2.011095,0.6500,0.0500,safety_music
29,gitco,-0.178944,0.6000,0.0500,build_core
30,rua,-0.761429,0.8500,0.0700,design_core
30,elo,-0.312207,0.7500,0.2500,design_core
30,lumen,-0.593246,0.9000,0.2200,design_core
30,lubit,0.062612,0.8000,0.0500,build_core
30,sena,-0.892974,0.7000,0.0500,safety_music
30,comet,-1.334646,0.6500,0.0500,safety_music
30,gitco,0.304952,0.6000,0.0500,build_core
31,rua,-0.187284,0.8500,0.0700,design_core
31,elo,0.281001,0.7500,0.2500,design_core
31,lumen,0.001186,0.9000,0.2200,design_core
31,lubit,0.684308,0.8000,0.0500,build_core
31,sena,-0.318660,0.7000,0.0500,safety_music
