t_idx,coherence,dissonance_rate,hotspots,breath,diet,tuned,rules,mode,bpm,amp_limit_hits,bw_limit_hits,loop_latency_ms,adapter_success_rate
0,0.8729,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,1.0000
1,0.9210,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
2,0.9320,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
3,0.9288,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
4,0.9171,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,1.0000
5,0.9007,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9524
6,0.9050,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9592
7,0.8847,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9643
8,0.8650,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9683
9,0.8463,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9714
10,0.8293,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9481
11,0.8512,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9524
12,0.8330,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9560
13,0.8176,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9592
14,0.8039,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9619
15,0.7918,0.0000,,4-6,,0,6,focus,80.0,0,2,0.00,0.9464
16,0.8247,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9496
17,0.8097,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9524
18,0.7968,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9549
19,0.7860,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9571
20,0.7758,0.0000,,4-6,,0,6,focus,80.0,0,1,0.00,0.9524
21,0.8130,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9545
22,0.7998,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9565
23,0.7875,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9583
24,0.7772,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9600
25,0.7686,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,0.9615
26,0.8081,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9630
27,0.7953,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9643
28,0.7843,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9655
29,0.7749,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9667
30,0.7662,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,0.9677
31,0.8065,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9688
32,0.7941,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9697
33,0.7831,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9706
34,0.7734,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9714
35,0.7657,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,0.9722
36,0.8061,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9730
37,0.7935,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9737
38,0.7824,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9744
39,0.7729,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9750
40,0.7649,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,0.9756
41,0.8056,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9762
42,0.7930,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9767
43,0.7824,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9773
44,0.7736,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9778
45,0.7649,0.0000,,4-6,,0,6,focus,80.0,0,0,0.00,0.9783
46,0.8057,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9787
47,0.7931,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9792
48,0.7820,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9796
49,0.7727,0.0000,,4-6,,0,0,focus,80.0,0,0,0.00,0.9800
