Timestamp,LocalMs,CloudMs,GatewayMs,LocalOnline,CloudOnline,GatewayOnline
2025-10-30T12:30:04,2040,226,216,1,1,1
2025-10-30T12:30:30,2038,234,215,1,1,1
2025-10-30T12:31:04,2038,223,213,1,1,1
2025-10-30T12:31:05,2071,226,232,1,1,1
2025-10-30T12:33:04,2044,225,219,1,1,1
2025-10-30T12:38:05,2053,272,215,1,1,1
2025-10-30T12:43:05,2032,290,219,1,1,1
2025-10-30T12:48:05,2049,271,220,1,1,1
2025-10-30T12:53:05,2041,267,220,1,1,1
2025-10-30T12:58:05,2053,269,215,1,1,1
2025-10-30T13:03:05,2050,267,231,1,1,1
2025-10-30T13:08:09,2061,268,218,1,1,1
2025-10-30T13:13:05,2066,297,218,1,1,1
2025-10-30T13:18:05,2066,269,216,1,1,1
2025-10-30T13:23:05,2064,268,217,1,1,1
2025-10-30T13:28:05,2069,297,216,1,1,1
2025-10-30T13:33:05,2058,269,219,1,1,1
2025-10-30T13:38:05,2067,262,214,1,1,1
2025-10-30T13:43:05,2062,265,220,1,1,1
2025-10-30T13:48:05,2066,268,221,1,1,1
2025-10-30T13:53:05,2049,267,214,1,1,1
2025-10-30T13:58:05,2051,268,252,1,1,1
2025-10-30T14:03:05,2063,280,225,1,1,1
2025-10-30T14:08:05,2051,294,221,1,1,1
2025-10-30T14:13:05,2071,265,218,1,1,1
2025-10-30T14:18:05,2051,268,216,1,1,1
2025-10-30T14:23:05,2038,263,216,1,1,1
2025-10-30T14:28:05,2062,285,220,1,1,1
2025-10-30T14:33:05,2062,264,216,1,1,1
2025-10-30T14:38:05,2048,277,221,1,1,1
2025-10-30T14:43:05,2064,269,220,1,1,1
2025-10-30T14:48:05,2056,273,217,1,1,1
2025-10-30T14:53:05,2056,270,223,1,1,1
2025-10-30T14:58:05,2047,265,217,1,1,1
2025-10-30T15:03:06,2043,303,554,1,1,1
2025-10-30T15:08:05,2051,267,218,1,1,1
2025-10-30T15:13:09,2057,271,218,1,1,1
2025-10-30T15:18:05,2065,265,219,1,1,1
2025-10-30T15:23:05,2070,264,214,1,1,1
2025-10-30T15:28:05,2056,269,215,1,1,1
2025-10-30T15:33:05,2055,263,224,1,1,1
2025-10-30T15:38:05,2056,300,218,1,1,1
2025-10-30T15:43:05,2067,270,216,1,1,1
2025-10-30T15:48:05,2060,267,213,1,1,1
2025-10-30T15:53:05,2048,304,219,1,1,1
2025-10-30T15:58:06,2035,295,215,1,1,1
2025-10-30T16:03:06,2067,293,216,1,1,1
2025-10-30T16:08:06,2059,294,219,1,1,1
2025-10-30T16:13:05,2028,268,216,1,1,1
2025-10-30T16:18:08,2038,292,219,1,1,1
2025-10-30T16:23:05,2051,265,213,1,1,1
2025-10-30T16:28:06,2058,272,219,1,1,1
2025-10-30T16:33:05,2040,265,218,1,1,1
2025-10-30T16:38:06,2055,339,225,1,1,1
2025-10-30T16:43:05,2031,266,211,1,1,1
2025-10-30T16:48:05,2039,279,218,1,1,1
2025-10-30T16:53:05,2037,283,218,1,1,1
2025-10-30T16:58:06,2051,267,213,1,1,1
2025-10-30T17:03:06,2050,267,215,1,1,1
2025-10-30T17:08:05,2051,354,211,1,1,1
2025-10-30T17:13:06,2055,271,223,1,1,1
2025-10-30T17:18:10,2058,272,4174,1,1,1
2025-10-30T17:23:05,2056,265,221,1,1,1
2025-10-30T17:28:05,2062,268,213,1,1,1
2025-10-30T17:33:06,2054,297,219,1,1,1
2025-10-30T17:38:06,2039,299,216,1,1,1
2025-10-30T17:43:05,2054,268,217,1,1,1
2025-10-30T17:48:06,2038,268,213,1,1,1
2025-10-30T17:53:06,2036,268,224,1,1,1
2025-10-30T17:58:06,2039,299,217,1,1,1
2025-10-30T18:03:06,2054,273,214,1,1,1
2025-10-30T18:08:06,2035,307,218,1,1,1
2025-10-30T18:13:06,2051,263,214,1,1,1
2025-10-30T18:18:06,2037,266,216,1,1,1
2025-10-30T18:23:06,2062,299,215,1,1,1
2025-10-30T18:28:06,2049,302,219,1,1,1
2025-10-30T18:33:06,2045,265,215,1,1,1
2025-10-30T18:38:06,2063,278,229,1,1,1
2025-10-30T18:43:06,2037,268,219,1,1,1
