t,left_info,right_info,left_res,right_res,cross_res,left_S,right_S,horizons
0,0.3912,0.2337,0.3974,0.2471,0.3222,0.7960,0.9462,0
1,0.2899,-0.1359,0.3206,0.1081,0.2144,0.8080,1.0205,0
2,0.0898,-0.6798,0.1401,0.6037,0.3719,1.0831,0.6194,0
3,-0.4924,-0.4558,0.4234,0.3854,0.4044,0.8192,0.8573,0
4,-0.5407,-0.6277,0.4503,0.5238,0.4870,0.8419,0.7685,0
5,-0.5784,-0.5331,0.4671,0.4208,0.4439,0.7993,0.8456,0
6,-0.5836,-0.6352,0.4550,0.4971,0.4761,0.8306,0.7885,0
7,-0.5736,-0.5820,0.4307,0.4331,0.4319,0.8285,0.8260,0
8,-0.6324,-0.6301,0.4697,0.4628,0.4663,0.8100,0.8169,0
9,-0.5770,-0.6779,0.4052,0.4910,0.4481,0.8637,0.7779,0
10,-0.6456,-0.6197,0.4560,0.4248,0.4404,0.8082,0.8395,0
11,-0.6468,-0.7178,0.4445,0.5009,0.4727,0.8391,0.7827,0
12,-0.6326,-0.6742,0.4200,0.4490,0.4345,0.8407,0.8117,0
13,-0.7242,-0.7346,0.4917,0.4917,0.4917,0.8033,0.8033,0
14,-0.6302,-0.6876,0.3948,0.4381,0.4165,0.8550,0.8118,0
15,-0.7093,-0.7140,0.4586,0.4526,0.4556,0.8147,0.8208,0
16,-0.6947,-0.7005,0.4356,0.4311,0.4333,0.8244,0.8289,0
17,-0.7319,-0.7550,0.4602,0.4719,0.4661,0.8194,0.8077,0
18,-0.6941,-0.7379,0.4170,0.4474,0.4322,0.8423,0.8119,0
19,-0.7295,-0.7622,0.4420,0.4614,0.4517,0.8290,0.8096,0
20,-0.7336,-0.8073,0.4381,0.4931,0.4656,0.8413,0.7862,0
21,-0.7885,-0.7798,0.4798,0.4601,0.4700,0.8022,0.8219,0
22,-0.7727,-0.8141,0.4574,0.4834,0.4704,0.8248,0.7988,0
23,-0.8004,-0.8049,0.4748,0.4676,0.4712,0.8079,0.8151,0
24,-0.7506,-0.8159,0.4227,0.4708,0.4468,0.8453,0.7973,0
25,-0.8186,-0.8311,0.4786,0.4778,0.4782,0.8083,0.8091,0
