"Path","FileName","Type","SizeKB","Modified","Purpose"
"\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\mlib.ini","mlib.ini",".ini","0.15","2025-10-16","Configuration"
"\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\npymath.ini","npymath.ini",".ini","0.37","2025-10-16","Configuration"
"\.venv\Lib\site-packages\setuptools\config\distutils.schema.json","distutils.schema.json",".json","0.95","2025-10-28","Configuration"
"\.venv\Lib\site-packages\setuptools\config\setuptools.schema.json","setuptools.schema.json",".json","15.69","2025-10-28","Configuration"
"\.vscode\commands.json","commands.json",".json","8.54","2025-10-22","Configuration"
"\.vscode\launch.json","launch.json",".json","0.82","2025-10-22","Configuration"
"\.vscode\settings.json","settings.json",".json","1.51","2025-10-29","Settings"
"\.vscode\tasks.json","tasks.json",".json","82.98","2025-10-29","Task Configuration"
"\ai_binoche_conversation_origin\lumen\AGI_DELIVERY_PACKAGE_FOR_SENA_v1.1\configs\orchestration_flow.yaml","orchestration_flow.yaml",".yaml","0.42","2025-10-12","Orchestration"
"\ai_binoche_conversation_origin\lumen\AGI_DELIVERY_PACKAGE_FOR_SENA_v1.2\configs\handover_sync.yaml","handover_sync.yaml",".yaml","1.91","2025-10-12","Configuration"
"\ai_binoche_conversation_origin\lumen\AGI_DELIVERY_PACKAGE_FOR_SENA_v1.2\configs\orchestration_flow.yaml","orchestration_flow.yaml",".yaml","0.42","2025-10-12","Orchestration"
"\ai_binoche_conversation_origin\lumen\config\env-prod.yaml","env-prod.yaml",".yaml","0.54","2025-10-21","Configuration"
"\ai_binoche_conversation_origin\lumen\config\env-stage.yaml","env-stage.yaml",".yaml","0.54","2025-10-21","Configuration"
"\ai_binoche_conversation_origin\lumen\config\env.yaml","env.yaml",".yaml","0.92","2025-10-21","Configuration"
"\config\monitoring_thresholds.json","monitoring_thresholds.json",".json","0.6","2025-10-26","Configuration"
"\config\reaper_automation.json","reaper_automation.json",".json","0.36","2025-10-27","Configuration"
"\configs\clipboard_orchestration.yaml","clipboard_orchestration.yaml",".yaml","0.93","2025-10-12","Orchestration"
"\configs\persona_registry.json","persona_registry.json",".json","9.98","2025-10-14","Persona Configuration"
"\configs\persona_registry_e2.json","persona_registry_e2.json",".json","6.94","2025-10-12","Persona Configuration"
"\configs\persona_registry_e3.json","persona_registry_e3.json",".json","8.89","2025-10-13","Persona Configuration"
"\configs\phase_controller_e2.yaml","phase_controller_e2.yaml",".yaml","12.85","2025-10-12","Phase Controller"
"\configs\phase_controller_e3.yaml","phase_controller_e3.yaml",".yaml","9","2025-10-13","Phase Controller"
"\docker\Github\gemini-cli\.vscode\extensions.json","extensions.json",".json","0.11","2025-09-14","Configuration"
"\docker\Github\gemini-cli\.vscode\launch.json","launch.json",".json","2.92","2025-09-14","Configuration"
"\docker\Github\gemini-cli\.vscode\settings.json","settings.json",".json","0.53","2025-10-17","Settings"
"\docker\Github\gemini-cli\.vscode\tasks.json","tasks.json",".json","0.53","2025-09-14","Task Configuration"
"\docker\Github\gemini-cli\packages\vscode-ide-companion\.vscode\launch.json","launch.json",".json","0.31","2025-09-14","Configuration"
"\docker\Github\gemini-cli\packages\vscode-ide-companion\.vscode\tasks.json","tasks.json",".json","0.29","2025-09-14","Task Configuration"
"\docker\Github\langchain\.vscode\extensions.json","extensions.json",".json","0.59","2025-09-14","Configuration"
"\docker\Github\langchain\.vscode\settings.json","settings.json",".json","1.9","2025-10-17","Settings"
"\docker\Github\langchainjs\.vscode\extensions.json","extensions.json",".json","0.29","2025-09-14","Configuration"
"\docker\Github\langchainjs\.vscode\settings.json","settings.json",".json","1","2025-10-17","Settings"
"\docker\Github\obsidian-local-rest-api\.vscode\settings.json","settings.json",".json","0.06","2025-09-14","Settings"
"\docker\Win_LocalLLM\lmstudio\extensions\backends\vendor\_amphibian\cpython3.11-win-x86@2\Lib\site-packages\setuptools\config\distutils.schema.json","distutils.schema.json",".json","0.95","2025-06-06","Configuration"
"\docker\Win_LocalLLM\lmstudio\extensions\backends\vendor\_amphibian\cpython3.11-win-x86@2\Lib\site-packages\setuptools\config\setuptools.schema.json","setuptools.schema.json",".json","15.69","2025-06-06","Configuration"
"\fdo-agi-viz\node_modules\@eslint\config-array\package.json","package.json",".json","1.81","2025-10-11","Configuration"
"\fdo-agi-viz\node_modules\@eslint\config-helpers\package.json","package.json",".json","1.6","2025-10-11","Configuration"
"\fdo-agi-viz\node_modules\@typescript-eslint\tsconfig-utils\package.json","package.json",".json","1.64","2025-10-11","Configuration"
"\fdo-agi-viz\node_modules\eslint\conf\replacements.json","replacements.json",".json","0.96","2025-10-11","Configuration"
"\fdo-agi-viz\node_modules\eslint\conf\rule-type-list.json","rule-type-list.json",".json","2.48","2025-10-11","Configuration"
"\fdo_agi_repo\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\mlib.ini","mlib.ini",".ini","0.15","2025-10-12","Configuration"
"\fdo_agi_repo\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\npymath.ini","npymath.ini",".ini","0.37","2025-10-12","Configuration"
"\fdo_agi_repo\config\rag_config.json","rag_config.json",".json","1.66","2025-10-28","Configuration"
"\fdo_agi_repo\configs\app.yaml","app.yaml",".yaml","0.56","2025-10-25","Configuration"
"\fdo_agi_repo\configs\app_lumen.yaml","app_lumen.yaml",".yaml","0.54","2025-10-25","Configuration"
"\fdo_agi_repo\configs\models.yaml","models.yaml",".yaml","0.45","2025-10-12","Configuration"
"\fdo_agi_repo\configs\permissions.yaml","permissions.yaml",".yaml","0.16","2025-10-12","Configuration"
"\fdo_agi_repo\configs\tools.yaml","tools.yaml",".yaml","0.21","2025-10-12","Configuration"
"\gitko-agent-extension\.vscode\launch.json","launch.json",".json","0.49","2025-10-22","Configuration"
"\gitko-agent-extension\.vscode\tasks.json","tasks.json",".json","0.28","2025-10-22","Task Configuration"
"\LLM_Unified\.venv\etc\jupyter\nbconfig\notebook.d\pydeck.json","pydeck.json",".json","0.07","2025-09-15","Configuration"
"\LLM_Unified\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\mlib.ini","mlib.ini",".ini","0.15","2025-10-29","Configuration"
"\LLM_Unified\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\npymath.ini","npymath.ini",".ini","0.37","2025-10-29","Configuration"
"\LLM_Unified\.venv\Lib\site-packages\pyreadline3\configuration\pyreadlineconfig.ini","pyreadlineconfig.ini",".ini","3.83","2025-10-29","Configuration"
"\LLM_Unified\.venv\Lib\site-packages\setuptools\config\distutils.schema.json","distutils.schema.json",".json","0.95","2025-10-17","Configuration"
"\LLM_Unified\.venv\Lib\site-packages\setuptools\config\setuptools.schema.json","setuptools.schema.json",".json","15.69","2025-10-17","Configuration"
"\LLM_Unified\.vscode\extensions.json","extensions.json",".json","0.08","2025-10-17","Configuration"
"\LLM_Unified\.vscode\tasks.json","tasks.json",".json","3.38","2025-10-18","Task Configuration"
"\LLM_Unified\config\features.yaml","features.yaml",".yaml","0.31","2025-10-17","Configuration"
"\LLM_Unified\config\policy.json","policy.json",".json","1.51","2025-10-17","Configuration"
"\LLM_Unified\config\rubit_guidelines.json","rubit_guidelines.json",".json","4.1","2025-10-17","Configuration"
"\LLM_Unified\gitko-agent-extension\.vscode\launch.json","launch.json",".json","0.89","2025-10-22","Configuration"
"\LLM_Unified\gitko-agent-extension\.vscode\settings.json","settings.json",".json","0.13","2025-10-29","Settings"
"\LLM_Unified\gitko-agent-extension\.vscode\tasks.json","tasks.json",".json","0.63","2025-10-22","Task Configuration"
"\LLM_Unified\gitko-agent-extension\node_modules\@humanwhocodes\config-array\package.json","package.json",".json","1.49","2025-10-22","Configuration"
"\LLM_Unified\gitko-agent-extension\node_modules\@humanwhocodes\config-array\node_modules\brace-expansion\package.json","package.json",".json","1.13","2025-10-22","Configuration"
"\LLM_Unified\gitko-agent-extension\node_modules\@humanwhocodes\config-array\node_modules\minimatch\package.json","package.json",".json","0.68","2025-10-22","Configuration"
"\LLM_Unified\gitko-agent-extension\node_modules\eslint\conf\replacements.json","replacements.json",".json","1.01","2025-10-22","Configuration"
"\LLM_Unified\gitko-agent-extension\node_modules\eslint\conf\rule-type-list.json","rule-type-list.json",".json","1.61","2025-10-22","Configuration"
"\LLM_Unified\ion-mentoring\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\mlib.ini","mlib.ini",".ini","0.15","2025-10-22","Configuration"
"\LLM_Unified\ion-mentoring\.venv\Lib\site-packages\numpy\_core\lib\npy-pkg-config\npymath.ini","npymath.ini",".ini","0.37","2025-10-22","Configuration"
"\LLM_Unified\ion-mentoring\.vscode\tasks.json","tasks.json",".json","4.65","2025-10-24","Task Configuration"
"\LLM_Unified\ion-mentoring\config\base.yaml","base.yaml",".yaml","2.99","2025-10-18","Configuration"
"\LLM_Unified\ion-mentoring\config\dev.yaml","dev.yaml",".yaml","1.45","2025-10-18","Configuration"
"\LLM_Unified\ion-mentoring\config\prod.yaml","prod.yaml",".yaml","3.28","2025-10-18","Configuration"
"\LLM_Unified\ion-mentoring\config\test.yaml","test.yaml",".yaml","1.28","2025-10-18","Configuration"
"\LLM_Unified\ion-mentoring\config\thresholds.json","thresholds.json",".json","0","2025-10-22","Configuration"
"\LLM_Unified\optimization\configs\yeonah_120b.json","yeonah_120b.json",".json","0.08","2025-10-17","Configuration"
"\LLM_Unified\project-setup\my_project\.vscode\launch.json","launch.json",".json","0.31","2025-10-17","Configuration"
"\LLM_Unified\project-setup\my_project\.vscode\settings.json","settings.json",".json","0.18","2025-10-17","Settings"
"\week2_review\fdo_agi_repo\configs\models.yaml","models.yaml",".yaml","0.45","2025-10-12","Configuration"
"\week2_review\fdo_agi_repo\configs\permissions.yaml","permissions.yaml",".yaml","0.16","2025-10-12","Configuration"
"\week2_review\fdo_agi_repo\configs\tools.yaml","tools.yaml",".yaml","0.37","2025-10-12","Configuration"
