"Extension","Count","TotalSizeMB","AvgSizeMB","LargestFileMB"
".gguf","4","24866.22","6216.5552","13669.88"
".dll","194","2489.76","12.8338","643.41"
".json","7297","1492.1","0.2045","363.64"
".wav","2012","1139.44","0.5663","12.54"
".db","3","785.14","261.7148","766.47"
".pyc","37700","702.56","0.0186","1.41"
".py","41226","654.24","0.0159","1.48"
".pyd","1002","460.12","0.4592","67.68"
".md","4836","313.44","0.0648","43.33"
".csv","692","295.38","0.4269","64.3"
".jsonl","398","290.06","0.7288","44.49"
".mp4","113","194.78","1.7237","18.34"
".png","491","177.8","0.3621","3.24"
".html","714","174.66","0.2446","64.63"
".exe","235","170.88","0.7272","70.61"
".js","8675","157.29","0.0181","8.69"
"(no extension)","12513","66.08","0.0053","4.12"
".ts","7486","62.4","0.0083","4.34"
".map","2136","53.91","0.0252","11.25"
".bak","7","45.58","6.5113","30.52"
".txt","1082","44.23","0.0409","35.18"
".jpeg","96","24.22","0.2523","0.76"
".lock","48","17.64","0.3675","0.96"
".tiktoken","6","15.15","2.5249","3.45"
".node","20","13.48","0.6741","2.57"
".onnx","6","13.07","2.1792","10.2"
".ipynb","142","12.35","0.087","1.69"
".lib","279","10.86","0.0389","3.88"
".pyi","2494","10.85","0.0044","0.3"
".pdf","20","10.28","0.514","4.47"
".xml","87","9.34","0.1073","2.56"
".h","1144","9.34","0.0082","0.25"
".ajson","83","7.57","0.0912","1.5"
".chm","3","7.57","2.5239","2.52"
".ttf","58","7.08","0.1221","0.72"
".zlib","180","6.35","0.0353","1.41"
".jpg","20","6.17","0.3086","2.81"
".whl","8","6.06","0.7575","2.01"
".c","66","6.03","0.0914","1.78"
".mjs","561","5.97","0.0106","0.71"
".cjs","294","4.31","0.0147","0.72"
".decTest","143","4.22","0.0295","0.29"
".proto","637","3.88","0.0061","0.05"
".log","193","3.86","0.02","0.44"
".npz","31","3.66","0.118","1.21"
".pem","55","3.65","0.0663","0.28"
".vscdb","13","3.34","0.2566","2.26"
".backup","15","3.34","0.2227","2.26"
".tcl","383","3.15","0.0082","0.13"
".bmp","11","3.02","0.2747","3"
".enc","162","2.93","0.0181","0.13"
".svg","77","2.54","0.033","0.74"
".mp3","2","2.52","1.2602","2.4"
".msg","293","2.37","0.0081","1.98"
".pyx","53","2.25","0.0424","0.69"
".gz","57","2.11","0.037","0.28"
".zip","121","2.07","0.0171","0.19"
".yaml","449","2","0.0045","1.02"
".woff2","26","1.85","0.0712","0.42"
".dat","28","1.83","0.0653","0.57"
".tsx","271","1.62","0.006","0.08"
".ps1","381","1.51","0.004","0.09"
".afm","60","1.29","0.0215","0.07"
".xsd","9","1.28","0.1419","0.48"
".rtf","1","1.25","1.2498","1.25"
".pxd","94","1","0.0106","0.2"
".pxi","19","0.82","0.043","0.21"
".webp","4","0.77","0.1921","0.28"
".yml","344","0.72","0.0021","0.02"
".ambr","21","0.64","0.0305","0.36"
".zi","6","0.61","0.1025","0.1"
".gif","90","0.59","0.0065","0.1"
".css","52","0.57","0.0109","0.14"
".tm","10","0.53","0.0526","0.11"
".flow","3","0.49","0.1622","0.31"
".mdx","154","0.48","0.0031","0.03"
".index","1","0.46","0.46","0.46"
".npy","27","0.44","0.0163","0.18"
".cts","72","0.43","0.006","0.08"
".tar","2","0.42","0.2078","0.42"
".cc","23","0.41","0.0179","0.09"
".ico","11","0.41","0.0376","0.08"
".ppm","4","0.38","0.0941","0.19"
".xsl","7","0.36","0.0508","0.13"
".snap","31","0.36","0.0118","0.15"
".hpp","29","0.33","0.0115","0.07"
".epub","2","0.32","0.1587","0.29"
".cpp","35","0.31","0.0089","0.02"
".sh","157","0.31","0.002","0.02"
".grit","12","0.3","0.0247","0.23"
".woff","20","0.29","0.0145","0.03"
".tab","24","0.28","0.0118","0.02"
".faiss","1","0.25","0.2461","0.25"
".tf","44","0.24","0.0054","0.01"
