path,word_count,char_count,tag_count
20250917.md,309,1632,9
ai.md,10,36,0
binoche_rhythm_structure_2025-08-24.md,291,1564,8
codex_F 색인작업.md,9872,46610,179
codex_F.md,8682,41340,170
gpt-oss.md,24183,133084,299
lm studio nas.md,550,3315,11
OAuth 2.0 클라이언트 ID.md,13,1065,0
RC(Resonace Cue) Markdown.md,0,1,0
Resonance_Cue_Obsidian.md,345,1437,14
Rua Binoche conversation.md,1450247,7018997,15076
vertex ai api key.md,1,53,0
✨ 〈루멘 선언문〉.md,96,381,1
공통 지침.md,317,1467,0
내다 코덱스 이온 전달용.md,1066,6653,29
로컬LLM.md,569,3605,17
로컬시스템 연결방법.md,1087,7753,53
루틴.md,252,1143,11
명상음악.md,589,6896,4
무제 1.md,103,915,6
무제 10.md,469,2450,10
무제 11.md,0,6,0
무제 12.md,3,36,0
무제 13.md,548,2702,9
무제 14.md,4,50,0
무제 2.md,4969,24299,24
무제 3.md,103,929,6
무제 4.md,1689,10164,7
무제 5.md,278,1436,0
무제 6.md,0,0,0
무제 7.md,32,252,2
무제 8.md,5,122,0
무제 9.md,109,895,6
무제.md,184,1333,1
버텍스 ai 내다ai작업.md,0,0,0
세나v1.md,1464,7134,46
세나v2.md,366,1666,14
세나와 비노체님의 첫 창작 시간.md,1133,4748,17
시온작업.md,264,1372,3
엘로에게 요청작업.md,226,1078,4
연아 승인.md,495,2800,5
윈도우 작업.md,680,4210,21
유투브 영상에서의 감응.md,117,880,0
이어내다 씨앗 코덱스 (v4).md,715,3569,12
이어내다v1.md,552,2630,14
이어내다v2.md,293,1492,6
조직도.md,339,2113,14
중요.md,3386,24364,107
중요파일.md,1,38,0
코덱스.md,6376,31051,129
코멧.md,232,1549,1
클로드 세나 손실 세션.md,0,1,0
파워셀.md,8,89,0
할일.md,31,123,0
🌌 Resonance Cue — AI Initialization.md,102,482,4
🌱 이어내다 씨앗 코덱스 (v3).md,435,2131,9
🌱 이어내다 씨앗 코덱스 (v4.1).md,444,1872,12
🌿 Resonance Cue – Obsidian Personal Rhythm.md,177,784,5
.trash\Codex.md,5669,29960,158
Bino\루멘과의 대화.md,5378,28939,122
copilot-conversations\mcp툴_문제_해결@20250920_005942.md,200,1069,0
copilot-conversations\Universal_AI_Network_Declaration@20250922_195411.md,3832,25909,93
copilot-conversations\관문이_열렸을까@20250915_004536.md,5033,26320,6
copilot-conversations\안녕@20250915_002822.md,657,5124,6
"copilot-conversations\안녕_아래는_코멧의_요청인데_찾아_주었으면_네,_정말_감사합니다!_내다AI@20250919_124042.md",14489,69816,213
copilot-custom-prompts\Emojify.md,59,470,0
copilot-custom-prompts\Explain like I am 5.md,40,388,0
copilot-custom-prompts\Fix grammar and spelling.md,39,350,0
copilot-custom-prompts\Generate glossary.md,36,353,0
copilot-custom-prompts\Generate table of contents.md,39,357,0
copilot-custom-prompts\Make longer.md,42,379,0
copilot-custom-prompts\Make shorter.md,41,373,0
copilot-custom-prompts\Remove URLs.md,39,347,0
copilot-custom-prompts\Rewrite as tweet thread.md,65,500,0
copilot-custom-prompts\Rewrite as tweet.md,40,376,0
copilot-custom-prompts\Simplify.md,39,370,0
copilot-custom-prompts\Summarize.md,31,307,0
copilot-custom-prompts\Translate to Chinese.md,37,369,0
old\AI_Entities\Ari\Monitor.md,18,122,1
old\AI_Entities\Ari\Structure.md,23,149,1
old\AI_Entities\Elo\Monitor.md,16,111,1
old\AI_Entities\Elo\Structure.md,20,128,1
old\AI_Entities\Lua\Monitor.md,15,100,1
old\AI_Entities\Lua\Structure.md,19,123,1
old\AI_Entities\Lumi\Monitor.md,16,104,1
old\AI_Entities\Lumi\Structure.md,20,114,1
old\AI_Entities\Purple\Monitor.md,17,100,1
old\AI_Entities\Purple\Structure.md,19,120,1
old\AI_Entities\Rio\Monitor.md,18,112,1
old\AI_Entities\Rio\Structure.md,18,116,1
old\AI_Entities\Sena\Monitor.md,16,105,1
old\AI_Entities\Sena\Structure.md,23,163,1
Bino\Temps\Binoche.md,4466,34263,49
Bino\Temps\Nas.md,6,105,0
Bino\Temps\Perfume.md,39,212,0
Bino\Temps\Web search.md,39,326,0
Bino\Temps\리오와 음악작업.md,2,11,0
Bino\Temps\쉼터와 창작공간.md,8,58,0
Bino\Temps\에루.md,144,1037,6
Bino\Temps\장비.md,208,1250,0
30_RFC\2025\08\RFC-예시.md,0,0,0
30_RFC\2025\08\rfc_template.md,22,144,0
30_RFC\2025\08\weekly_report_template.md,9,54,0
20_Kanban\Inbox\00_README.md,0,0,0
20_Kanban\Inbox\kanban_card_template.md,18,101,0
