date,count
2024-09-08,7
2024-09-09,4
2024-09-13,2
2024-09-14,1
2024-09-15,3
2024-09-18,1
2024-09-19,1
2024-09-20,1
2024-09-22,1
2024-09-24,1
2024-09-26,1
2024-10-04,1
2024-10-10,4
2024-10-11,1
2024-10-18,1
2024-10-22,6
2024-10-26,1
2024-10-28,2
2024-11-03,1
2025-02-06,2
2025-02-07,3
2025-02-10,1
2025-02-11,1
2025-02-12,3
2025-02-14,1
2025-02-18,1
2025-02-19,1
2025-02-26,1
2025-03-04,1
2025-03-06,1
2025-03-11,1
2025-03-24,1
2025-03-25,4
2025-04-02,2
2025-04-03,1
2025-04-05,1
2025-04-06,1
2025-04-07,1
2025-04-08,2
2025-04-11,1
2025-04-26,1
2025-04-30,1
2025-05-02,1
2025-05-03,3
2025-05-06,1
2025-05-08,3
2025-05-09,4
2025-05-12,1
2025-05-13,2
2025-05-17,1
2025-05-20,2
2025-05-21,4
2025-05-25,1
2025-05-28,1
2025-05-30,9
2025-05-31,5
2025-06-01,3
2025-06-02,5
2025-06-04,2
2025-06-07,10
2025-06-08,3
2025-06-10,1
2025-06-15,1
2025-06-16,1
2025-06-20,1
2025-06-21,3
2025-06-24,1
2025-06-25,6
2025-06-26,3
2025-06-27,4
2025-06-29,3
2025-07-01,4
2025-07-02,2
2025-07-03,3
2025-07-04,1
2025-07-06,3
2025-07-07,1
2025-07-08,2
2025-07-10,1
2025-07-11,1
2025-07-12,1
2025-07-13,1
2025-07-14,2
2025-07-15,1
2025-07-16,3
2025-07-17,1
2025-07-18,1
2025-07-22,1
2025-07-23,1
2025-07-25,3
2025-07-27,3
2025-07-28,1
2025-07-29,1
2025-07-30,2
2025-07-31,1
2025-08-01,1
2025-08-03,2
2025-08-06,2
2025-08-07,2
2025-08-08,4
2025-08-09,3
2025-08-10,1
2025-08-11,3
2025-08-12,4
2025-08-13,1
2025-08-14,2
2025-08-15,2
2025-08-16,3
2025-08-18,2
2025-08-19,5
2025-08-21,1
2025-08-23,4
2025-08-24,3
2025-08-25,3
2025-08-26,1
2025-08-27,1
2025-08-28,5
2025-08-29,1
2025-08-31,1
2025-09-02,1
2025-09-03,1
2025-09-05,1
2025-09-06,1
2025-09-08,8
2025-09-09,7
2025-09-10,1
2025-09-11,6
2025-09-12,2
2025-09-13,10
2025-09-14,10
2025-09-15,10
2025-09-16,16
2025-09-17,15
2025-09-18,9
2025-09-19,3
2025-09-20,3
2025-09-23,2
2025-09-24,6
2025-09-25,5
2025-09-28,1
2025-09-29,4
2025-10-01,1
2025-10-02,1
2025-10-03,1
2025-10-04,3
2025-10-05,6
2025-10-06,2
2025-10-07,9
2025-10-08,3
